监测时间,水质类别,水温（℃）,pH(无量纲),溶氧量(mg/L),电导率（μS/cm）,浊度（NTU）,高锰酸盐指数（mg/L）,氨氮（mg/L）,总磷（mg/L）,总氮（mg/L）,站点情况,id
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,12.8,8.22,12.01,595.4,26.6,1.26,0.166,0.118,7,正常,558
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.2,8.49,9.68,1202.3,7.1,3.4,0.222,0.033,2.68,正常,559
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,9.3,8.4,11.87,797.3,27.3,1.29,0.025,0.076,6.78,正常,560
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.5,8.02,8.92,1176.9,15.5,3.51,0.025,0.052,0.69,正常,561
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.2,7.8,5.78,1966.5,11.5,4.3,0.025,0.069,1,正常,562
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.5,7.85,9.01,539.5,36.3,2.32,0.025,0.028,3.91,正常,563
,,,,,,,,,,,维护,564
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.5,8.22,8.94,688.2,16.5,1.84,0.025,0.026,4.74,正常,565
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.8,8.12,10.63,862.1,34.4,4.03,0.026,0.031,2.78,正常,566
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,9.4,7.89,10.31,700.4,2.8,2.37,0.106,0.02,0.92,正常,567
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.6,7.93,7.73,1067.4,71.4,4.64,0.145,0.128,7.38,正常,568
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.4,8.07,10.27,518.1,2.9,2.18,0.025,0.012,0.86,正常,569
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.8,8.06,8.02,639.2,51.1,3.13,0.04,0.085,2.78,正常,570
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,18.2,8.42,9.71,812.3,5.6,1.31,0.025,0.019,3.64,正常,571
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.2,8.53,11.19,562.7,5.2,1.35,0.025,0.007,2.69,正常,572
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.9,8.41,9.39,673.9,39,3.66,0.025,0.083,3.47,正常,573
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,8.5,7.87,9.79,729,7.2,2.69,0.025,0.025,4.52,正常,574
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.7,8.07,10.23,588.8,23.8,0.62,0.025,0.028,4.32,正常,575
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.3,8.17,7.77,,52.9,7.28,0.16,0.095,17.48,维护,576
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.4,8.1,8.59,1386.2,176.2,6.35,0.025,0.099,4.82,正常,577
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.3,8.3,10.9,730.3,28.5,5.16,0.025,0.038,2.18,正常,578
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.4,8.27,10.17,906.1,50.6,1.55,0.025,0.036,2.36,正常,579
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.2,8.16,8.03,2736.6,90,5.98,0.714,0.193,6.52,正常,580
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.4,8.29,11,864.3,17.2,1.55,0.025,0.042,4.33,正常,581
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18,7.92,9.13,1817.4,32.6,4.77,0.025,0.146,8.49,正常,582
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,10.3,8.19,9.74,1081.3,162.5,5.78,0.025,0.034,6.69,正常,583
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.3,8.14,8.22,714.7,15.6,1.63,0.025,0.091,5.88,正常,584
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.1,7.71,6.17,1069.4,15.1,3.15,0.154,0.105,5.43,正常,585
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.2,8.23,10.05,584.1,3.7,1.66,0.025,0.039,3.95,正常,586
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.6,8.19,9.82,504.8,31.6,0.89,0.025,0.028,4.86,正常,587
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.1,8.31,8.78,864,10.7,1.67,0.025,0.027,3.35,正常,588
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.5,8.18,8.64,1479.7,59.1,3.44,0.149,0.09,4.81,正常,589
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.7,8.76,9.25,791,30.3,2.8,0.025,0.038,2.09,正常,590
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.8,8.1,6.75,608.1,22,1.78,0.217,0.073,4.08,正常,591
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.2,8.44,9.67,649.2,1.7,1.5,0.025,0.005,4.45,正常,592
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.9,8.54,8.66,1149.1,5.9,3.68,0.025,0.054,3.13,正常,593
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15,8.57,8.68,734.7,41,2.55,0.025,0.066,2.47,正常,594
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.2,8.16,6.95,1052.6,18.3,3.23,0.025,0.135,5.26,正常,595
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,8.2,8.2,9.56,590.6,1.3,1.29,0.025,0.005,2.21,正常,596
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.3,8.03,6.69,1055.8,30.8,4.94,0.327,0.099,4.14,正常,597
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.4,8.43,8.78,1039.8,1096.6,3.47,0.025,0.01,2.1,正常,598
Sat Apr 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.2,8.24,10.12,1051.6,552.5,3.12,0.026,0.059,2.76,正常,599
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.8,8.08,7.86,1820.9,44.9,8.36,0.19,0.141,1.82,正常,600
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.2,8.31,9.17,1037.7,309.6,2.64,0.025,0.072,2.12,正常,601
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,3.5,7.38,11.7,99.3,8.8,2.08,0.025,0.025,1.04,正常,602
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,7.3,7.33,11.71,84.8,3.5,2.45,0.025,0.015,0.88,正常,603
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.1,8.61,9.98,1069.2,239.4,1.89,0.025,0.049,2.96,正常,604
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.9,8.69,8.41,,18.6,7.46,0.027,0.04,1.13,维护,605
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.1,8.66,9.94,851.8,103.1,2.15,0.025,0.033,2.4,正常,606
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,6.8,8.45,10.37,798.8,15.1,1.59,0.025,0.01,5.57,正常,607
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,2.7,6.69,11.76,138.3,26.3,10.32,0.198,0.21,2.06,正常,608
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),,11.2,7.63,9.91,328.2,206.1,7.72,,0.083,4.14,维护,609
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.4,8.6,9.81,986.6,147.7,2.25,0.208,0.034,2.71,正常,610
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,12.6,8.18,9.59,935.5,70.2,9.25,0.226,0.162,6.62,正常,611
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.5,7.62,8.6,741.2,7.3,5.36,0.147,0.104,5.69,正常,612
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.2,8.06,8.32,745.1,11.4,3.5,0.035,0.058,3.12,正常,613
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14,7.32,11.9,806.7,4.9,3.84,0.025,0.043,5.68,正常,614
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,12.2,8.49,10.25,646.2,25.6,7.23,0.029,0.069,3.66,正常,615
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.9,7.62,9.6,581.6,0.5,2.12,0.034,0.019,0.51,正常,616
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13,8.06,10.31,287.7,5.8,1.01,0.047,0.016,2.76,正常,617
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.4,8.78,12.04,519.3,14.4,3.35,0.045,0.058,2.71,正常,618
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.2,8.06,10.71,559.7,9.3,3.5,0.025,0.044,4.23,正常,619
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.7,8.02,9.76,776.2,4.7,2.71,0.062,0.056,4.31,正常,620
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.1,7.38,11.3,133.1,6.2,1.87,0.03,0.016,1.98,正常,621
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,12.5,9.05,9.17,261.4,5.7,1.77,0.032,0.031,2.75,正常,622
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.3,8.56,14.47,793.4,19,4.8,0.121,0.112,6.39,正常,623
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10.6,7.61,8.71,330.1,3.8,1.45,0.035,0.033,2.82,正常,624
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,9,7.84,10.25,399.9,1.6,1.01,0.025,0.006,3.47,正常,625
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,12.8,8.45,10.6,672.7,23.7,4.06,0.273,0.087,6.2,正常,626
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,7.2,7.83,14.34,252.8,3.2,1.92,0.025,0.016,2.82,正常,627
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.2,8.41,12.13,548.4,12.1,1.51,0.08,0.031,5.39,正常,628
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.8,7.74,9.12,539.1,7.3,2.04,0.05,0.037,3.37,正常,629
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.5,7.76,10.04,285.9,4.7,1.55,0.026,0.02,3.84,正常,630
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.3,7.45,9.14,275.3,4.4,0.97,0.025,0.011,3.56,正常,631
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,9.6,7.66,8.98,296.4,8,2.29,0.025,0.011,4.34,正常,632
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,9.7,7.82,10.05,195.3,8.6,1.51,0.025,0.009,3.39,正常,633
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,12,7.9,10.47,304.2,11,1.22,0.025,0.015,3.11,正常,634
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.6,7.68,7.36,497.9,14.2,2.3,0.486,0.043,4.67,正常,635
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,8.6,7.56,9.62,343.8,1.9,0.7,0.031,0.01,5.32,正常,636
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,9,7.42,9.64,115.7,4.9,0.57,0.025,0.005,3.46,正常,637
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,9,7.57,10,158.5,3,1.8,0.025,0.014,1.89,正常,638
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10,8.86,11.18,225.8,4.6,2.15,0.025,0.024,2.86,正常,639
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.8,7.09,10.26,506.4,1.6,0.67,0.081,0.009,3.51,正常,640
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,7.8,8.04,10.76,718.8,15.2,2.54,0.034,0.027,2.98,正常,641
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.1,8.21,9.07,879.4,19.6,2.95,0.032,0.044,5.87,正常,642
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.4,8,8.48,805.5,18.6,2.98,0.389,0.06,5.02,正常,643
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.4,8.17,9.27,686.8,21.7,2.88,0.025,0.042,8.06,正常,644
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13,8.22,8.65,422.8,12.7,2.87,0.059,0.033,0.61,正常,645
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.5,8.28,7.98,1229.7,17.1,2.55,0.067,0.06,13.54,正常,646
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,6.8,7.46,3.81,1062.8,10.5,3.88,0.074,0.081,9.49,正常,647
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.1,8.33,12.53,287.2,4.8,1.03,0.048,0.014,5.18,正常,648
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.9,7.86,10.1,649.3,14.5,2.9,0.041,0.043,7.47,正常,649
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,8.8,7.87,8.22,602.3,4.8,2,0.517,0.021,5.89,正常,650
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.4,8.72,10.49,823.6,28.7,2.17,0.146,0.081,6.28,正常,651
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.2,8.18,9.18,844.3,26.2,2.33,0.047,0.029,3.39,正常,652
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.1,8.36,8.9,1134.6,10.5,3.42,0.067,0.031,2.52,正常,653
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.2,7.37,11.12,855.7,10.2,4.89,0.033,0.038,4.02,正常,654
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.9,7.51,7.24,856.8,2.4,5.52,0.133,0.053,8.48,正常,655
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.1,7.38,7.24,1187,12,3.38,0.076,0.04,9.6,正常,656
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.4,8.31,11.21,1124.4,18.5,3.96,0.034,0.029,1.86,正常,657
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,18.5,7.34,4.91,904.6,17.1,3.56,0.025,0.053,5.89,正常,658
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.4,7.86,5.91,975.9,3.5,2.76,0.092,0.045,4.62,正常,659
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16,7.82,8.48,848.2,9,2.62,0.092,0.028,3.31,正常,660
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.9,7.96,9.52,1054.1,14.5,4.34,0.035,0.074,4.39,正常,661
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.6,7.56,9.08,1225.6,51,3.38,0.186,0.081,6.92,正常,662
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.2,8.34,7.99,1235.9,16.4,4.95,0.137,0.134,6.98,正常,663
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.8,8.26,12.19,1183.9,2.8,4.61,0.042,0.052,5.82,正常,664
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.9,8.27,10.1,419.9,6,2.44,0.025,0.005,1.15,正常,665
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.7,8.08,9.55,806.6,47.6,6.19,0.292,0.102,4.23,正常,666
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10.8,8.28,11.63,438.1,2.5,2.5,0.025,0.005,1.28,正常,667
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.9,8.14,10.36,507,11.5,1.24,0.025,0.005,4.63,正常,668
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,14,7.93,9.2,605.6,3.1,1.07,0.025,0.012,5.25,正常,669
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16,8.42,13.19,599.2,7.7,2.84,0.025,0.005,3.81,正常,670
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,9.7,8.17,8.94,620.5,6.2,1.87,0.293,0.056,12.52,正常,671
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),,16.2,8.17,9.82,866.2,11.3,,0.067,0.05,0.93,维护,672
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.6,8.9,13.32,866.5,6.3,4.26,0.04,0.042,0.96,正常,673
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.1,8.13,10.46,842.5,3.8,3.15,0.065,0.048,2.99,正常,674
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.3,8.93,14.66,1499.9,7.1,4.71,0.08,0.056,1.18,正常,675
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.1,8.27,9.8,286.4,1.9,1.49,0.025,0.005,1.11,正常,676
,,,,,,,,,,,维护,677
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.9,8.08,9.62,288.8,4.8,1.71,0.025,0.01,1.09,正常,678
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,15.3,7.75,9.15,993.3,6.8,7.77,0.145,0.071,2.96,正常,679
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.6,8.76,9.36,1012,7,3.81,0.025,0.042,2.41,正常,680
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.8,8.47,11.8,2716.7,15.6,5.23,0.025,0.063,4.99,正常,681
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,14.7,9.08,14.79,26626.8,19.1,12.9,0.049,0.172,2.26,正常,682
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.7,8.42,9.86,33898.5,18.5,3.22,0.655,0.026,1.23,正常,683
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,15.9,7.9,7.26,25260.6,141.4,6.17,0.596,0.128,1.62,正常,684
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.1,8.31,10.45,1949.8,11.7,5.49,0.025,0.062,4.68,正常,685
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.6,8.71,10.86,15961.2,37,6.71,0.073,0.106,2.05,正常,686
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.6,8.7,13.07,1891.3,15.7,6.07,0.036,0.077,4.86,正常,687
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.2,8.4,10.75,550.1,2,4.03,0.04,0.009,0.99,正常,688
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.9,8.23,8.75,516.8,3.5,2.72,0.025,0.017,1.17,正常,689
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.9,8.52,11.29,687.8,4.9,2.06,0.025,0.022,8.13,正常,690
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.2,8.2,12.43,846.9,11.3,2.24,0.025,0.028,10.65,正常,691
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),,15.7,8.65,11.63,751.5,1.3,,0.025,0.018,9.74,维护,692
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.8,8.3,10.12,532.8,6,3.37,0.025,0.027,1.11,正常,693
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.5,8.38,16.12,635.2,26.2,3.22,0.025,0.037,3.33,正常,694
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.6,7.89,8.56,1174.3,10.4,0.66,0.056,0.035,4.31,正常,695
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.2,8.04,7.1,976.1,27.7,1.24,0.163,0.024,7.04,正常,696
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.8,8.5,10.33,338.7,3.2,1.44,0.025,0.007,2.18,正常,697
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.6,8.27,4.65,1317.1,23.3,7.44,0.796,0.144,8.7,正常,698
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.6,8.85,14.03,559.4,1.5,2.12,0.025,0.012,3.17,正常,699
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.2,8.86,13.72,788.9,13.9,4.91,0.053,0.081,1.44,正常,700
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,14.4,9.54,20.04,917.4,6.6,5.91,0.054,0.055,1.06,正常,701
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.4,8.14,10.68,496.4,5.1,1.7,0.056,0.029,2.77,正常,702
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.9,8.09,9.86,14168.2,2.9,2.36,0.025,0.028,0.76,正常,703
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,15.8,8.79,20.64,12758.2,4.1,8.32,0.135,0.037,2.82,正常,704
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.4,8.35,11.54,469,2.1,1.74,0.025,0.011,2.23,正常,705
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.6,8.43,11.42,776,3.3,3.19,0.05,0.014,1.61,正常,706
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.6,7.89,8.46,996.1,24.6,3.01,0.18,0.076,1.99,正常,707
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,13.5,9.11,12.89,2351.8,4.8,5.02,0.04,0.047,3.54,正常,708
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.6,8.84,16.67,2008.5,10.3,5.9,0.025,0.087,2.69,正常,709
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.2,6.4,6.68,44891.4,11.5,4.96,0.312,0.005,1.59,正常,710
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13,8.53,10.42,630.8,15.2,0.93,0.025,0.016,4.69,正常,711
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.5,8.66,10.31,539.4,1.3,1.4,0.025,0.005,4.81,正常,712
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.5,8.54,7.07,554.1,41.2,2.48,0.04,0.081,2.24,正常,713
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.5,8.32,7.77,1423.1,60.3,5.93,0.207,0.101,5.83,正常,714
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.5,8.59,7.99,901.2,34.4,2.89,0.196,0.115,7.76,正常,715
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.2,8.22,9.94,779.2,15.1,2.88,0.057,0.021,4.47,正常,716
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.3,8.39,13.08,1108.6,12.4,4.24,0.049,0.04,6.7,正常,717
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.6,8.71,10.77,674.2,7.2,2.63,0.025,0.02,6.82,正常,718
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.8,7.98,8.7,599.4,9.9,1.09,0.025,0.02,5.87,正常,719
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.4,8.15,10.78,499.4,12.8,0.85,0.025,0.018,3.82,正常,720
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.2,8.54,8.49,1222,72.8,3.41,0.025,0.063,4.83,正常,721
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.4,8.44,8.49,1303.4,51.3,4.43,0.162,0.077,3.1,正常,722
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.2,7.94,7.47,741.7,1.8,1.49,0.025,0.022,2.96,正常,723
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,12.9,8.4,9.8,437.8,6.2,0.9,0.025,0.005,2.07,正常,724
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10.5,8.37,9.56,425.9,26.8,2.97,0.036,0.039,3.4,正常,725
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,14.1,8.5,9,911.8,2.5,0.96,0.025,0.005,1.74,正常,726
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.4,8.11,8.36,733.5,19.3,3.21,0.025,0.043,4.8,正常,727
Sun Apr 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13,8.41,9.58,1373.1,2.1,1.43,0.025,0.019,2.33,正常,728
